x	17	j	17	S	23	x	18	B	23	ý	60	D	19	A	16	H	14	B	14	E	10	M	10	B	33	f	38	p	50	B	9	V	39	A	34	I	11	h	55	é	18	U	16	č	54	D	10	z	16	D	16	ğ	58
B	14	á	17	A	21	í	17	f	22	š	59	S	19	O	16	O	13	c	14	J	9	L	8	A	31	í	35	ö	49	L	9	ņ	39	č	29	N	11	ś	41	R	17	O	14	é	48	K	10	ú	12	A	13	p	42
O	13	é	15	đ	19	ò	14	A	18	ř	48	c	12	B	8	R	12	I	11	S	8	y	8	D	28	ü	33	ú	29	U	8	è	35	c	28	U	11	ć	40	õ	17	â	14	ť	44	N	8	P	8	S	13	A	40
P	13	U	11	f	13	j	13	đ	17	ů	44	E	12	C	8	D	11	M	11	V	8	O	7	G	28	A	30	B	21	A	7	A	33	B	24	c	10	P	22	í	14	h	12	ú	38	O	8	x	8	U	10	D	39
S	13	A	9	B	12	O	10	D	15	č	39	M	12	E	7	x	11	P	10	B	7	B	6	W	28	c	29	Þ	17	I	6	ø	22	J	24	O	10	A	21	D	13	j	12	ľ	29	B	7	é	8	V	9	f	20
A	10	C	9	K	8	S	9	P	15	g	33	O	12	V	7	U	10	V	8	R	7	E	6	K	20	ú	23	ý	16	ì	5	B	14	V	23	B	9	f	17	j	12	P	10	A	19	f	7	L	7	F	6	M	17
D	10	K	8	O	8	y	9	K	14	f	19	R	11	I	5	C	9	f	7	c	6	ê	6	H	19	O	13	S	13	k	4	P	14	S	21	M	9	ń	15	A	11	B	8	g	16	T	7	B	6	M	6	O	17
H	8	S	8	R	8	A	7	O	14	S	17	N	7	é	5	B	8	K	5	M	6	A	5	P	19	E	12	A	11	N	4	ž	14	z	21	F	8	N	14	S	11	k	7	P	16	V	7	D	5	N	6	S	16
M	7	x	7	M	7	B	7	M	12	A	16	B	5	N	4	A	7	w	5	N	5	S	5	R	19	ű	11	F	10	ù	4	K	13	ę	18	P	7	O	14	ó	10	R	7	O	15	J	6	j	5	B	4	K	15
R	5	O	6	P	7	T	7	C	8	O	15	H	5	F	3	j	7	D	4	A	4	ô	5	F	18	T	10	O	7	E	3	L	12	O	17	R	7	D	13	x	9	x	6	ô	15	S	5	S	5	I	4	T	15
G	4	B	5	N	5	U	7	N	5	P	14	I	3	P	3	J	6	N	4	L	4	ù	4	N	17	G	9	R	6	G	3	ū	11	R	12	J	6	R	11	B	8	N	5	S	12	P	4	T	5	P	4	C	11
N	4	L	5	U	5	ç	7	R	4	K	11	J	3	S	3	P	6	R	4	D	3	R	2	V	17	S	7	H	5	J	3	f	9	f	11	E	5	S	11	M	8	Î	5	ň	11	W	4	N	4	E	3	P	6
V	3	R	5	V	5	D	6	y	4	ú	10	P	3	W	3	E	5	T	4	H	3	U	2	ö	15	Á	7	Ö	5	M	3	O	9	K	11	æ	5	K	10	T	8	D	3	f	10	Č	4	O	4	H	3	J	4
U	2	N	4	T	4	R	6	G	3	D	8	C	2	Z	3	N	5	y	4	T	2	z	2	E	13	D	6	c	4	R	3	ð	8	P	9	H	4	W	10	E	7	H	3	T	10	M	3	R	4	x	3	İ	4
ç	2	P	4	W	4	ú	5	H	3	B	7	G	2	L	2	I	4	G	3	U	2	ç	2	Z	11	P	6	D	4	W	3	I	7	T	8	K	4	B	8	H	7	I	3	ó	9	C	2	U	4	J	2	H	2
I	1	T	4	G	3	M	4	J	2	N	7	K	2	x	2	L	4	J	3	C	1	î	2	O	9	K	5	E	4	y	3	ļ	7	h	6	G	3	T	8	z	7	M	3	C	8	G	2	ñ	4	R	2	j	2
L	1	ú	4	I	3	N	4	U	2	U	7	V	2	X	2	F	3	C	2	Ä	1	H	1	C	7	M	5	K	4	H	2	h	6	M	6	T	3	Z	8	N	6	E	2	K	8	w	2	A	3	W	2	N	2
Q	1	F	3	y	3	P	4	V	1	V	6	W	2	y	2	q	3	E	2	Ö	1	I	1	J	7	N	5	C	3	P	2	J	6	D	5	C	2	C	7	à	6	F	2	B	7	Y	2	G	2	é	2	U	2
T	1	G	3	C	2	k	3	Z	1	M	5	F	1	G	1	z	3	L	2			J	1	y	6	H	4	M	3	Q	2	M	6	Š	5	L	2	M	7	â	6	L	2	D	7	F	1	J	2	G	1	F	1
X	1	H	2	H	2	G	2	Č	1	T	5	T	1	J	1	G	2	H	1			k	1	I	5	V	4	T	3	T	2	N	6	H	4	V	2	J	6	k	5	T	2	N	7	L	1	k	2	L	1	G	1
Z	1	M	2	J	2	L	2	Š	1	Z	5	w	1	M	1	V	2	W	1			N	1	T	5	B	2	z	3	w	2	ú	6	N	4	x	1	G	5	U	5	V	2	V	7	R	1	M	1	T	1	L	1
		ñ	2	L	1	W	2	Ž	1	ň	5	Y	1	T	1			Y	1			P	1	j	3	C	2	Á	3	È	2	D	5	C	3	Ø	1	I	5	ê	5	W	2	ď	7	U	1	Q	1	w	1	W	1
		D	1	w	1	J	1			C	4	é	1	U	1							T	1	L	2	J	2	Í	3	D	1	R	5	I	2			U	5	W	3	G	1	M	6	y	1	V	1			Y	1
		W	1	Y	1	z	1			J	4			ë	1							w	1	U	2	w	2	N	2	F	1	ģ	4	Į	2			ź	3	ú	3	J	1	Z	6	Š	1	W	1			Ç	1
				Z	1	É	1			F	3											û	1	Ü	2	W	2	P	2	x	1	ķ	4	E	1			F	2	G	2	K	1	ä	6							Ö	1
				Č	1					E	2											œ	1	q	1	Í	2	w	2	é	1	C	3	F	1			v	2	J	2	y	1	R	4							Ü	1
										G	2													Q	1	L	1	W	2	ò	1	T	3	G	1			X	2	V	2	Ş	1	E	3								
										R	2															R	1	G	1			î	3	L	1			Y	2	w	2			F	3								
										x	2															U	1	x	1			G	2	x	1			E	1	y	2			I	3								
										Y	2															x	1	Y	1			H	2	Z	1			H	1	F	1			x	3								
										Č	2															Y	1	É	1			F	1	é	1			q	1	K	1			H	2								
										ĕ	2																					U	1	Ž	1			Ż	1	L	1			L	2								
										H	1																					Z	1							Q	1			W	2								
										L	1																					Å	1							Y	1			Ď	2								
										w	1																					å	1											Š	2								
										W	1																					č	1											J	1								
										ď	1																					Š	1											U	1								
																																												ĺ	1								
